"Transcript Cluster ID","GenX_100uM vs. GenX_UT","Gene Symbol","0.1uMFold Change","10uMFold Change"
"TC0100015591.hg.1",2.53,"PIAS3",-2.210296,1.034497
"TC0100015598.hg.1",2.91,"TXNIP",1.165291,1.404718
"TC0100015608.hg.1",1.22,"LOC105371242; AC243756.1",-1.812222,-2.336161
"TC0100015629.hg.1",-1.24,"FMO5",-1.213808,-2.791207
"TC0100015634.hg.1",4.09,"ACP6",-1.149041,1.083283
"TC0100015660.hg.1",1.33,"PPIAL4G",-1.120009,-2.433125
"TC0100015711.hg.1",-1.15,"HIST2H2AB",-2.250678,1.5392
"TC0100015742.hg.1",1.58,"SNORA40",1.289123,2.325338
"TC0100015752.hg.1",1.57,"CTSS",2.344548,1.653302
"TC0100015781.hg.1",2.48,"PI4KB",-1.033308,-1.098192
"TC0100015783.hg.1",1.61,"RFX5",-2.466543,-1.533035
"TC0100015786.hg.1",2.17,"POGZ",-1.146733,-1.756167
"TC0100015822.hg.1",1.55,"S100A11",-2.195273,-1.17676
"TC0100015830.hg.1",-1.3,"FLG",-1.033108,2.19012
"TC0100015876.hg.1",1.14,"ILF2",2.494187,1.386252
"TC0100015947.hg.1",1.25,"THBS3",-1.497753,-2.589027
"TC0100015975.hg.1",2.48,"RIT1",1.058176,-1.345507
"TC0100015977.hg.1",-1.39,"SNORA80E",2.344923,1.42836
"TC0100016020.hg.1",2.08,"ISG20L2",1.031498,1.403822
"TC0100016039.hg.1",-1.42,"RP11-85G21.1",-2.597673,-1.975503
"TC0100016059.hg.1",-2.01,"LOC646268; RP11-404O13.1",1,-1.020411
"TC0100016081.hg.1",1.15,"OR6N2",-2.314788,-1.324814
"TC0100016099.hg.1",2.09,"CRP",-1.63166,1.18354
"TC0100016108.hg.1",1.05,"SNORD64",1.403404,2.785025
"TC0100016240.hg.1",-2.33,"LOC100505795; RP11-506O24.1",1.018679,1.046281
"TC0100016298.hg.1",1.19,"LINC01363",1.247189,2.037952
"TC0100016414.hg.1",-1.55,"MIR199A2; MIR214; DNM3OS",-2.711742,1.136226
"TC0100016449.hg.1",-1.39,"RC3H1-IT1; RP11-160H22.1",-1.110539,-2.615869
"TC0100016538.hg.1",-1.01,"SNORA63",-2.114432,-2.114432
"TC0100016554.hg.1",-1.2,"HNRNPA1P54; MEF2AP1",2.323678,2.088996
"TC0100016583.hg.1",-2.28,"MIR3121",-1.206259,1.072375
"TC0100016678.hg.1",-1,"FAM129A",2.738052,2.597457
"TC0100016689.hg.1",3.77,"RPL5P5",1.836196,1.561043
"TC0100016788.hg.1",-1,"RP11-101E13.5",-2.115927,-2.115927
"TC0100016822.hg.1",-1.55,"KCNT2",1.047464,-3.144105
"TC0100016828.hg.1",-2.07,"F13B",-1.542959,-3.981936
"TC0100016885.hg.1",2.01,"LINC00862",-1.069896,1
"TC0100016960.hg.1",1.02,"SYT2",-2.745254,-2.745254
"TC0100017018.hg.1",-1.26,"ETNK2",-2.005637,-1.274587
"TC0100017073.hg.1",1.6,"SLC45A3",-2.153301,-1.388551
"TC0100017084.hg.1",-1.11,"CTSE",-1.005045,2.121007
"TC0100017094.hg.1",-1.03,"FAM72A",-2.296919,-1.94415
"TC0100017100.hg.1",2.03,"EIF2D",1,1
"TC0100017113.hg.1",2.09,"PIGR",-1.305217,1.250869
"TC0100017120.hg.1",-1.14,"RP11-164O23.8",-2.775389,-2.431472
"TC0100017164.hg.1",-2.22,"RP1-272L16.1",1,-1.067363
"TC0100017177.hg.1",1.17,"SERTAD4-AS1",1.003235,2.011344
"TC0100017254.hg.1",-1.18,"RP11-338C15.5",-2.536326,-2.043143
"TC0100017256.hg.1",-2.78,"RP11-338C15.3",1,1.066216
"TC0100017258.hg.1",2.73,"BATF3",1.075151,1
"TC0100017375.hg.1",-1.25,"SNORA36B; MIR664A",1.004766,2.241198
"TC0100017435.hg.1",2.08,"HHIPL2",-1.070504,-1.086351
"TC0100017451.hg.1",1.26,"TP53BP2",1.091945,-2.286863
"TC0100017548.hg.1",1.03,"CDC42BPA",-1.973312,-5.387625
"TC0100017613.hg.1",-1.05,"TRIM17",-1.023265,-2.019685
"TC0100017662.hg.1",-2.3,"RN7SKP276",-1.070281,-1.099883
"TC0100017666.hg.1",1.4,"ABCB10",2.72735,1.557854
"TC0100017733.hg.1",-1.14,"TSNAX",1.825915,-2.072942
"TC0100017798.hg.1",1.45,"RP4-781K5.6",-2.383878,-2.383878
"TC0100017849.hg.1",1.66,"ERO1B",-1.18538,-2.993369
"TC0100017860.hg.1",2.45,"HEATR1",-1.175774,1.117628
"TC0100017879.hg.1",-2.29,"MTRNR2L11",1,1.196218
"TC0100017904.hg.1",-1.28,"CHRM3-AS2",1.05551,2.446534
"TC0100017958.hg.1",-2.12,"RN7SKP12",-1.665367,-1.482991
"TC0100018128.hg.1",1.16,"OR2AS1P",1.106106,2.385563
"TC0100018199.hg.1",3.22,"SRRM1",1,1.064872
"TC0100018203.hg.1",-1.5,"LOC101928303",-2.476529,-2.476529
"TC0100018230.hg.1",1.58,"CYP4B1",-2.144186,-2.156871
"TC0100018248.hg.1",-1.17,"RNPC3",-1.277621,-2.28493
"TC0100018261.hg.1",1.45,"GSTM4",-2.803463,-1.294191
"TC0100018262.hg.1",1.12,"GSTM2",-2.098473,-2.000111
"TC0100018270.hg.1",-2.14,"LAMTOR5-AS1",1,1
"TC0100018323.hg.1",-1.48,"IER5",-2.234419,-1.797522
"TC0100018330.hg.1",1.14,"CFHR2",-2.102477,-3.037934
"TC0100018339.hg.1",1.87,"MDM4",2.796844,1.353064
"TC0100018376.hg.1",-1,"RP11-34P13.13",-1.870715,-2.98204
"TC0100018384.hg.1",2.38,"RP11-206L10.10; TCONS_l2_00000968",1.009338,-2.583703
"TC0100018387.hg.1",2.52,"CDK11B",1,1
"TC0100018433.hg.1",2.19,"RRAGC",2.060138,2.245397
"TC0100018452.hg.1",-1.07,"GBP7",-3.13901,-4.898025
"TC0100018482.hg.1",1.15,"HIST2H2AA4; HIST2H2AA3",-2.129551,-1.455555
"TC0100018496.hg.1",1.32,"PYGO2",-2.582395,-2.604162
"TC0100018507.hg.1",-1.36,"ARHGEF2",-2.194755,-1.579645
"TC0100018509.hg.1",2.18,"GLMP",1.062498,-1.172729
"TC0100018515.hg.1",2.19,"CFAP45",1.04607,-1.307155
"TC0100018521.hg.1",2.21,"TSTD1",1.018115,1
"TC0100018570.hg.1",-1.11,"HNRNPU-AS1",1.346758,-2.817567
"TC0200006440.hg.1",1.37,"ACP1",2.346662,1.407808
"TC0200006627.hg.1",2.14,"ID2",1.218968,-1.571421
"TC0200006831.hg.1",-1.43,"VSNL1",-1.018432,-2.602503
"TC0200006936.hg.1",2.3,"KLHL29",1.207112,1
"TC0200006963.hg.1",1.03,"AC009228.1",2.515491,2.178266
"TC0200006966.hg.1",2.28,"RPL36AP13",-1.367243,1.057099
"TC0200006969.hg.1",2.17,"NCOA1",1,-1.418819
"TC0200007032.hg.1",3.22,"HADHB",1.374255,2.338625
"TC0200007049.hg.1",1.04,"TMEM214",-2.8549,-1.453337
"TC0200007067.hg.1",2.41,"NRBP1",-1.154693,1.064821
"TC0200007097.hg.1",2.11,"RP11-373D23.2",1,-1.012674
"TC0200007112.hg.1",2.07,"SNORD92",-1.554208,1.419468
"TC0200007191.hg.1",-1.22,"MIR558",1.301829,2.030986
"TC0200007195.hg.1",2.16,"TTC27; MIR4765",1.242297,-1.049186
"TC0200007205.hg.1",1.08,"RASGRP3",-1.041281,-3.976806
"TC0200007231.hg.1",-1.11,"MIR548AD",-1.574321,-2.65312
"TC0200007248.hg.1",-1,"U6",1.239364,2.463808
"TC0200007298.hg.1",-1.34,"TTC39DP",1.349346,2.475586
"TC0200007329.hg.1",-1.13,"AC007317.1",1.471217,2.493928
"TC0200007419.hg.1",1.72,"CAMKMT",1.27201,-3.010118
"TC0200007471.hg.1",-1.12,"RHOQ",-1.544597,-2.497042
"TC0200007473.hg.1",2.65,"CRIPT",1.084192,1.012246
"TC0200007477.hg.1",-1.16,"SOCS5",-1.670929,-3.535759
"TC0200007609.hg.1",2.07,"SPTBN1",1.058125,1.058125
"TC0200007630.hg.1",-1.26,"Y_RNA",-1.333252,-2.275731
"TC0200007634.hg.1",-1.6,"RNU6-634P",1,-2.889921
"TC0200007636.hg.1",1.01,"CFAP36",-1.132546,-2.81542
"TC0200007664.hg.1",1.28,"VRK2",-2.036865,-2.413304
"TC0200007717.hg.1",1.14,"AHSA2",-2.027834,-2.027834
"TC0200007722.hg.1",-1.44,"USP34",-2.105656,-1.494776
"TC0200007728.hg.1",1.05,"RNU6-1145P",1.03454,-2.339467
"TC0200007775.hg.1",2.29,"MDH1",-1.214043,1.08167
"TC0200007785.hg.1",1.03,"UGP2",-2.69901,-3.795921
"TC0200007845.hg.1",-2.25,"RP11-340F16.2",-1.238119,-1.186687
"TC0200007854.hg.1",-2.25,"MEIS1",-1.090198,-1.090198
"TC0200007886.hg.1",2.49,"PNO1",1,1.012106
"TC0200007958.hg.1",-1.07,"BRD7P6",1,-2.067131
"TC0200008129.hg.1",1.03,"RP11-342K6.2",1.02743,-2.723818
"TC0200008141.hg.1",-1.4,"LOC101927907; AC079117.1",-2.296267,1
"TC0200008165.hg.1",-1.14,"RNU6-812P",-2.128461,-2.161781
"TC0200008225.hg.1",-1.59,"DUXAP1",1.092399,2.740501
"TC0200008248.hg.1",2.91,"ELMOD3",1.017536,1.017536
"TC0200008281.hg.1",2.17,"PTCD3",1,-1.140922
"TC0200008289.hg.1",1.13,"SNORA19",1,-2.694617
"TC0200008300.hg.1",1.56,"RMND5A",-1.044426,-2.133186
"TC0200008391.hg.1",1.49,"IGKV1D-22",2.260653,2.199309
"TC0200008404.hg.1",1.04,"IGKV2D-10",-1.365832,-2.157738
